date_bs,date_ad,name,type
2082/01/01,2025-04-14,Nepalese New Year,public
2082/01/18,2025-05-01,International Labour Day,public
2082/01/29,2025-05-12,Buddha Jayanti / Ubhauli Parva,public
2082/02/15,2025-05-29,Republic Day (Ganatantra Diwas),public
2082/04/24,2025-08-09,Rakshya Bandhan / Janai Purnima,public
2082/04/31,2025-08-16,Shree Krishna Janmashtami,public
2082/06/03,2025-09-19,Constitution Day (Sambidhan Diwas),public
2082/06/06,2025-09-22,Ghatasthapana (Dashain Start),public
2082/06/13,2025-09-29,Fulpati (Dashain),public
2082/06/14,2025-09-30,Maha Ashtami,public
2082/06/15,2025-10-01,Maha Navami,public
2082/06/16,2025-10-02,Vijaya Dashami,public
2082/06/17,2025-10-03,Ekadashi (Dashain),public
2082/06/18,2025-10-04,Duwadashi (Dashain End),public
2082/07/03,2025-10-19,Kag Tihar,public
2082/07/04,2025-10-20,Kukur Tihar,public
2082/07/05,2025-10-21,Laxmi Puja,public
2082/07/06,2025-10-22,Govardhan Puja / Mha Puja,public
2082/07/07,2025-10-23,Bhai Tika,public
2082/07/10,2025-10-26,Chhath Parva,public
2082/08/18,2025-12-03,Udhauli / Yomari Punhi,public
2082/09/10,2025-12-25,Christmas Day,public
2082/09/15,2025-12-30,Tamu Lhosar,public
2082/10/01,2026-01-14,Maghe Sankranti,public
2082/10/05,2026-01-18,Sonam Lhosar,public
2082/10/16,2026-01-30,Martyrs' Day,public
2082/11/03,2026-02-17,Maha Shivaratri,public
2082/11/06,2026-02-20,Gyalpo Lhosar,public
2082/11/07,2026-02-21,Democracy Day (Prajatantra Diwas),public
2082/11/24,2026-03-08,International Women's Day,public
